id,observed_on,local_time_observed_at,latitude,longitude,positional_accuracy,public_positional_accuracy,image_url,license,geoprivacy,taxon_geoprivacy,scientific_name,common_name,taxon_id
128984633,2022-08-02,2022-08-02 00:40:00+10:00,-30.4900714453,151.6392706226,11,11,https://static.inaturalist.org/photos/219142197/medium.jpeg,,,open,Phascolarctos cinereus,Koala,42983
129048796,2022-08-02,2022-08-02 07:55:55+10:00,-38.6713116286,146.1647462276,24,24,https://inaturalist-open-data.s3.amazonaws.com/photos/219257827/medium.jpg,CC-BY-NC,,open,Wallabia bicolor,Swamp Wallaby,42973
129051266,2022-08-02,2022-08-02 00:20:13+02:00,43.1196234274,-7.6788841188,8,8,https://inaturalist-open-data.s3.amazonaws.com/photos/219262307/medium.jpeg,CC-BY,,open,Plecotus auritus,Brown Big-eared Bat,40416
129054418,2022-08-02,2022-08-02 00:26:13+02:00,50.6864393301,7.1697807312,6,6,https://inaturalist-open-data.s3.amazonaws.com/photos/219268423/medium.jpeg,CC-BY-NC,,,Erinaceus europaeus,Common Hedgehog,43042
129076855,2022-08-02,2022-08-02 13:32:23+12:00,-40.9498116654,174.9710916171,5,5,https://inaturalist-open-data.s3.amazonaws.com/photos/219311061/medium.jpg,,,open,Arctocephalus forsteri,New Zealand Fur Seal,41752
129077332,2022-08-02,2022-08-02 13:18:00+12:00,-36.9578014943,174.4664281234,147,147,https://inaturalist-open-data.s3.amazonaws.com/photos/219311965/medium.jpeg,CC-BY,,open,Hydrurga leptonyx,Leopard Seal,41724
129078329,2022-08-02,2022-08-02 10:06:00+10:00,-36.6499997232,149.8866784097,122,28505,https://inaturalist-open-data.s3.amazonaws.com/photos/219313665/medium.jpeg,CC-BY-NC,obscured,obscured,Ornithorhynchus anatinus,Platypus,43236
129079761,2022-08-02,2022-08-02 08:43:16+08:00,25.1785857176,121.7942547417,17,30003,https://static.inaturalist.org/photos/219316402/medium.jpg,,,obscured,Manis pentadactyla,Chinese Pangolin,43366
129087239,2022-08-02,2022-08-02 12:58:34+10:00,-37.4056674289,144.5798220053,249,249,https://inaturalist-open-data.s3.amazonaws.com/photos/219329632/medium.jpg,CC-BY-NC,,,Antechinus mimetes,Mainland Dusky Antechinus,899706
129090780,2022-08-02,2022-08-02 00:38:24+10:00,-30.4899534366,151.6410198435,437,437,https://inaturalist-open-data.s3.amazonaws.com/photos/219335275/medium.jpeg,CC-BY-NC,,open,Phascolarctos cinereus,Koala,42983
129090816,2022-08-02,2022-08-02 00:46:48+10:00,-30.4899534366,151.6410198435,437,437,https://inaturalist-open-data.s3.amazonaws.com/photos/219335379/medium.jpeg,CC-BY-NC,,open,Macropus giganteus,Eastern Grey Kangaroo,42888
129094766,2022-08-02,2022-08-02 12:44:46+10:00,-27.9971285581,152.6840440929,23,23,https://inaturalist-open-data.s3.amazonaws.com/photos/219342188/medium.jpeg,CC-BY-NC,,open,Phascolarctos cinereus,Koala,42983
